account_id,customer_id,branch_id,product_id,open_date,status
ACCT00001,CUST01861,B005,P05,2022-07-26,ACTIVE
ACCT00002,CUST01830,B008,P05,2024-06-11,ACTIVE
ACCT00003,CUST01187,B001,P01,2023-09-25,ACTIVE
ACCT00004,CUST00303,B020,P04,2024-12-29,ACTIVE
ACCT00005,CUST01476,B020,P05,2023-02-12,ACTIVE
ACCT00006,CUST00635,B020,P03,2024-09-18,ACTIVE
ACCT00007,CUST01243,B001,P04,2023-02-02,ACTIVE
ACCT00008,CUST00798,B013,P02,2024-06-23,ACTIVE
ACCT00009,CUST01293,B002,P01,2024-03-26,CLOSED
ACCT00010,CUST00890,B018,P02,2021-12-25,CLOSED
ACCT00011,CUST01231,B002,P02,2025-05-17,ACTIVE
ACCT00012,CUST01213,B019,P04,2022-04-15,ACTIVE
ACCT00013,CUST00171,B003,P03,2023-03-07,ACTIVE
ACCT00014,CUST01658,B017,P04,2023-06-23,ACTIVE
ACCT00015,CUST00455,B003,P05,2023-08-12,ACTIVE
ACCT00016,CUST00710,B002,P04,2022-04-26,ACTIVE
ACCT00017,CUST00207,B019,P05,2022-06-01,ACTIVE
ACCT00018,CUST00830,B015,P06,2025-07-13,ACTIVE
ACCT00019,CUST00758,B010,P04,2023-03-09,ACTIVE
ACCT00020,CUST01368,B016,P01,2024-05-14,ACTIVE
ACCT00021,CUST00123,B008,P04,2025-07-11,ACTIVE
ACCT00022,CUST00185,B016,P05,2022-03-18,CLOSED
ACCT00023,CUST00602,B020,P02,2024-02-11,ACTIVE
ACCT00024,CUST00123,B008,P03,2024-02-22,ACTIVE
ACCT00025,CUST00362,B001,P04,2024-02-05,ACTIVE
ACCT00026,CUST01003,B014,P01,2022-11-06,ACTIVE
ACCT00027,CUST00242,B011,P04,2022-02-14,ACTIVE
ACCT00028,CUST01534,B016,P06,2022-12-09,ACTIVE
ACCT00029,CUST01478,B010,P05,2022-09-06,ACTIVE
ACCT00030,CUST00379,B018,P04,2023-12-07,ACTIVE
ACCT00031,CUST01202,B019,P02,2023-03-15,ACTIVE
ACCT00032,CUST01623,B008,P06,2024-08-12,ACTIVE
ACCT00033,CUST01711,B013,P01,2024-05-05,ACTIVE
ACCT00034,CUST01359,B017,P06,2024-10-29,ACTIVE
ACCT00035,CUST00554,B013,P01,2025-03-27,ACTIVE
ACCT00036,CUST00194,B011,P04,2022-03-11,ACTIVE
ACCT00037,CUST01031,B011,P05,2023-08-05,ACTIVE
ACCT00038,CUST01709,B001,P05,2022-04-25,CLOSED
ACCT00039,CUST01472,B017,P04,2022-08-29,ACTIVE
ACCT00040,CUST00714,B014,P02,2023-11-13,ACTIVE
ACCT00041,CUST01473,B005,P06,2024-11-26,ACTIVE
ACCT00042,CUST01003,B014,P02,2024-09-28,ACTIVE
ACCT00043,CUST00371,B003,P01,2023-05-24,ACTIVE
ACCT00044,CUST01762,B006,P06,2023-03-31,ACTIVE
ACCT00045,CUST01526,B016,P02,2025-02-01,ACTIVE
ACCT00046,CUST00675,B017,P02,2025-09-22,ACTIVE
ACCT00047,CUST00810,B007,P03,2025-09-04,ACTIVE
ACCT00048,CUST01419,B011,P04,2022-09-12,ACTIVE
ACCT00049,CUST01442,B011,P05,2022-12-24,ACTIVE
ACCT00050,CUST01166,B015,P05,2022-01-18,ACTIVE
ACCT00051,CUST01876,B004,P04,2023-04-09,ACTIVE
ACCT00052,CUST00656,B007,P05,2025-09-16,ACTIVE
ACCT00053,CUST01291,B002,P05,2024-03-09,ACTIVE
ACCT00054,CUST00692,B012,P05,2024-07-31,ACTIVE
ACCT00055,CUST01082,B001,P02,2025-06-09,ACTIVE
ACCT00056,CUST01181,B020,P01,2024-12-06,ACTIVE
ACCT00057,CUST01917,B011,P06,2022-07-04,ACTIVE
ACCT00058,CUST00374,B017,P03,2023-11-21,ACTIVE
ACCT00059,CUST01078,B010,P01,2025-02-18,ACTIVE
ACCT00060,CUST00210,B003,P02,2024-11-03,ACTIVE
ACCT00061,CUST01995,B005,P05,2022-01-15,ACTIVE
ACCT00062,CUST00010,B011,P05,2022-07-15,ACTIVE
ACCT00063,CUST00643,B014,P02,2023-03-12,ACTIVE
ACCT00064,CUST01792,B006,P03,2025-07-18,ACTIVE
ACCT00065,CUST00157,B013,P03,2023-12-08,ACTIVE
ACCT00066,CUST01343,B019,P04,2025-05-14,ACTIVE
ACCT00067,CUST00233,B016,P05,2025-05-20,ACTIVE
ACCT00068,CUST01412,B015,P02,2025-01-23,ACTIVE
ACCT00069,CUST00470,B013,P03,2023-11-25,ACTIVE
ACCT00070,CUST01835,B011,P05,2024-07-27,ACTIVE
ACCT00071,CUST00064,B008,P05,2025-06-02,ACTIVE
ACCT00072,CUST01776,B001,P06,2022-03-21,ACTIVE
ACCT00073,CUST00884,B006,P01,2023-01-13,ACTIVE
ACCT00074,CUST00394,B014,P05,2024-02-19,ACTIVE
ACCT00075,CUST00656,B007,P03,2024-04-16,ACTIVE
ACCT00076,CUST01681,B006,P05,2023-10-06,ACTIVE
ACCT00077,CUST00847,B017,P05,2022-08-04,ACTIVE
ACCT00078,CUST01371,B013,P06,2022-03-15,ACTIVE
ACCT00079,CUST00855,B011,P02,2022-04-30,ACTIVE
ACCT00080,CUST01661,B005,P03,2024-08-29,ACTIVE
ACCT00081,CUST01893,B015,P01,2023-02-20,ACTIVE
ACCT00082,CUST01780,B016,P01,2024-08-01,ACTIVE
ACCT00083,CUST00873,B001,P04,2023-06-05,ACTIVE
ACCT00084,CUST01498,B020,P03,2022-08-09,ACTIVE
ACCT00085,CUST01132,B007,P02,2025-09-06,ACTIVE
ACCT00086,CUST00941,B006,P06,2024-03-02,ACTIVE
ACCT00087,CUST01582,B009,P01,2024-01-08,ACTIVE
ACCT00088,CUST00990,B005,P05,2023-12-06,ACTIVE
ACCT00089,CUST00782,B005,P01,2021-11-25,ACTIVE
ACCT00090,CUST00965,B005,P04,2022-07-22,ACTIVE
ACCT00091,CUST01436,B020,P01,2024-10-05,ACTIVE
ACCT00092,CUST00958,B008,P03,2021-12-22,ACTIVE
ACCT00093,CUST00134,B004,P04,2025-07-19,ACTIVE
ACCT00094,CUST01266,B003,P04,2024-11-15,ACTIVE
ACCT00095,CUST01444,B008,P05,2023-11-13,ACTIVE
ACCT00096,CUST00222,B011,P04,2025-06-07,ACTIVE
ACCT00097,CUST01127,B011,P03,2022-07-30,ACTIVE
ACCT00098,CUST01412,B015,P03,2022-08-19,ACTIVE
ACCT00099,CUST00950,B017,P02,2022-07-05,ACTIVE
ACCT00100,CUST01776,B001,P03,2025-05-17,CLOSED
ACCT00101,CUST01219,B013,P03,2025-07-28,ACTIVE
ACCT00102,CUST01253,B003,P04,2022-03-26,ACTIVE
ACCT00103,CUST01614,B017,P02,2022-07-18,ACTIVE
ACCT00104,CUST01899,B011,P02,2022-05-30,ACTIVE
ACCT00105,CUST00797,B012,P03,2023-12-25,ACTIVE
ACCT00106,CUST01599,B008,P03,2023-06-05,ACTIVE
ACCT00107,CUST01785,B008,P02,2023-08-30,ACTIVE
ACCT00108,CUST01748,B006,P03,2024-07-14,ACTIVE
ACCT00109,CUST01798,B005,P02,2025-02-12,ACTIVE
ACCT00110,CUST00634,B015,P01,2024-08-12,ACTIVE
ACCT00111,CUST00897,B003,P04,2022-11-28,ACTIVE
ACCT00112,CUST01255,B007,P04,2022-12-10,ACTIVE
ACCT00113,CUST01256,B003,P03,2023-01-13,ACTIVE
ACCT00114,CUST00790,B013,P05,2024-01-03,ACTIVE
ACCT00115,CUST00799,B018,P02,2025-03-12,ACTIVE
ACCT00116,CUST00253,B016,P05,2021-12-14,CLOSED
ACCT00117,CUST00335,B003,P02,2025-07-17,ACTIVE
ACCT00118,CUST00343,B015,P06,2022-10-26,ACTIVE
ACCT00119,CUST00133,B014,P03,2025-07-01,ACTIVE
ACCT00120,CUST01695,B020,P05,2025-04-04,ACTIVE
ACCT00121,CUST00478,B003,P01,2025-03-02,ACTIVE
ACCT00122,CUST00169,B009,P06,2023-12-30,ACTIVE
ACCT00123,CUST00662,B002,P03,2022-03-01,ACTIVE
ACCT00124,CUST01306,B013,P03,2024-08-15,ACTIVE
ACCT00125,CUST00053,B007,P03,2022-10-05,ACTIVE
ACCT00126,CUST01559,B005,P04,2021-12-25,ACTIVE
ACCT00127,CUST01254,B007,P02,2024-11-11,ACTIVE
ACCT00128,CUST01223,B020,P01,2022-04-03,ACTIVE
ACCT00129,CUST01258,B016,P01,2024-08-02,ACTIVE
ACCT00130,CUST00164,B018,P05,2023-12-17,ACTIVE
ACCT00131,CUST00331,B017,P06,2024-02-27,ACTIVE
ACCT00132,CUST00208,B019,P02,2025-05-07,ACTIVE
ACCT00133,CUST00624,B005,P03,2022-09-18,ACTIVE
ACCT00134,CUST00463,B009,P02,2025-08-01,ACTIVE
ACCT00135,CUST00365,B010,P06,2025-06-18,ACTIVE
ACCT00136,CUST01361,B007,P01,2025-04-06,ACTIVE
ACCT00137,CUST00120,B011,P02,2022-05-28,ACTIVE
ACCT00138,CUST00842,B016,P06,2023-03-31,ACTIVE
ACCT00139,CUST00130,B009,P03,2023-11-19,ACTIVE
