account_id,as_of_date,balance_amount,update_ts
ACCT00001,2025-12-28,54076.71,2025-12-28 22:00:00
ACCT00001,2025-12-28,52249.13,2025-12-28 21:00:00
ACCT00002,2025-12-28,59353.68,2025-12-28 00:00:00
ACCT00002,2025-12-28,56171.26,2025-12-28 03:00:00
ACCT00003,2025-12-28,68711.16,2025-12-28 08:00:00
ACCT00004,2025-12-28,46404.31,2025-12-28 21:00:00
ACCT00005,2025-12-28,47737.75,2025-12-28 16:00:00
ACCT00006,2025-12-28,78955.59,2025-12-28 00:00:00
ACCT00007,2025-12-28,52154.59,2025-12-28 17:00:00
ACCT00007,2025-12-28,50730.0,2025-12-28 10:00:00
ACCT00008,2025-12-28,79334.35,2025-12-28 05:00:00
ACCT00011,2025-12-28,21185.13,2025-12-28 23:00:00
ACCT00012,2025-12-28,37182.75,2025-12-28 08:00:00
ACCT00012,2025-12-28,38199.56,2025-12-28 20:00:00
ACCT00013,2025-12-28,57891.39,2025-12-28 19:00:00
ACCT00013,2025-12-28,57413.35,2025-12-28 11:00:00
ACCT00014,2025-12-28,27389.18,2025-12-28 19:00:00
ACCT00015,2025-12-28,4046.2,2025-12-28 10:00:00
ACCT00016,2025-12-28,26348.46,2025-12-28 11:00:00
ACCT00017,2025-12-28,30572.7,2025-12-28 17:00:00
ACCT00017,2025-12-28,29553.13,2025-12-28 07:00:00
ACCT00018,2025-12-28,55485.52,2025-12-28 00:00:00
ACCT00018,2025-12-28,54338.89,2025-12-28 03:00:00
ACCT00019,2025-12-28,25375.85,2025-12-28 01:00:00
ACCT00020,2025-12-28,75989.74,2025-12-28 17:00:00
ACCT00021,2025-12-28,73426.33,2025-12-28 17:00:00
ACCT00023,2025-12-28,20221.4,2025-12-28 07:00:00
ACCT00023,2025-12-28,20252.55,2025-12-28 06:00:00
ACCT00024,2025-12-28,36388.88,2025-12-28 08:00:00
ACCT00024,2025-12-28,36132.72,2025-12-28 18:00:00
ACCT00025,2025-12-28,83296.11,2025-12-28 08:00:00
ACCT00025,2025-12-28,86888.63,2025-12-28 14:00:00
ACCT00026,2025-12-28,74699.32,2025-12-28 07:00:00
ACCT00027,2025-12-28,31575.6,2025-12-28 08:00:00
ACCT00028,2025-12-28,56755.39,2025-12-28 22:00:00
ACCT00029,2025-12-28,42241.42,2025-12-28 21:00:00
ACCT00029,2025-12-28,42969.81,2025-12-28 23:00:00
ACCT00030,2025-12-28,71682.34,2025-12-28 15:00:00
ACCT00031,2025-12-28,95878.68,2025-12-28 10:00:00
ACCT00032,2025-12-28,76690.02,2025-12-28 18:00:00
ACCT00033,2025-12-28,26883.13,2025-12-28 08:00:00
ACCT00034,2025-12-28,39602.48,2025-12-28 11:00:00
ACCT00035,2025-12-28,107565.64,2025-12-28 17:00:00
ACCT00035,2025-12-28,107081.61,2025-12-28 00:00:00
ACCT00036,2025-12-28,58811.7,2025-12-28 18:00:00
ACCT00037,2025-12-28,7049.99,2025-12-28 06:00:00
ACCT00039,2025-12-28,44594.77,2025-12-28 07:00:00
ACCT00040,2025-12-28,47091.13,2025-12-28 06:00:00
ACCT00041,2025-12-28,58472.53,2025-12-28 09:00:00
ACCT00042,2025-12-28,67625.16,2025-12-28 14:00:00
ACCT00042,2025-12-28,68546.64,2025-12-28 04:00:00
ACCT00043,2025-12-28,42002.68,2025-12-28 23:00:00
ACCT00044,2025-12-28,97880.3,2025-12-28 09:00:00
ACCT00045,2025-12-28,29283.78,2025-12-28 02:00:00
ACCT00045,2025-12-28,30921.43,2025-12-28 05:00:00
ACCT00046,2025-12-28,36006.03,2025-12-28 05:00:00
ACCT00046,2025-12-28,35995.71,2025-12-28 17:00:00
ACCT00047,2025-12-28,24130.26,2025-12-28 13:00:00
ACCT00048,2025-12-28,49658.95,2025-12-28 05:00:00
ACCT00049,2025-12-28,34655.87,2025-12-28 13:00:00
ACCT00050,2025-12-28,61662.96,2025-12-28 22:00:00
ACCT00051,2025-12-28,63148.06,2025-12-28 16:00:00
ACCT00052,2025-12-28,69170.51,2025-12-28 05:00:00
ACCT00052,2025-12-28,68861.27,2025-12-28 19:00:00
ACCT00053,2025-12-28,45459.77,2025-12-28 13:00:00
ACCT00054,2025-12-28,69701.18,2025-12-28 14:00:00
ACCT00055,2025-12-28,81566.02,2025-12-28 19:00:00
ACCT00055,2025-12-28,80893.24,2025-12-28 23:00:00
ACCT00056,2025-12-28,87640.06,2025-12-28 09:00:00
ACCT00057,2025-12-28,51671.62,2025-12-28 14:00:00
ACCT00057,2025-12-28,52297.42,2025-12-28 18:00:00
ACCT00058,2025-12-28,39672.22,2025-12-28 04:00:00
ACCT00059,2025-12-28,36482.97,2025-12-28 22:00:00
ACCT00060,2025-12-28,105574.41,2025-12-28 12:00:00
ACCT00061,2025-12-28,61191.68,2025-12-28 05:00:00
ACCT00062,2025-12-28,19194.13,2025-12-28 07:00:00
ACCT00063,2025-12-28,56849.77,2025-12-28 19:00:00
ACCT00064,2025-12-28,42001.49,2025-12-28 17:00:00
ACCT00065,2025-12-28,35597.65,2025-12-28 17:00:00
ACCT00066,2025-12-28,76968.67,2025-12-28 10:00:00
ACCT00067,2025-12-28,54917.27,2025-12-28 01:00:00
ACCT00068,2025-12-28,29922.96,2025-12-28 06:00:00
ACCT00068,2025-12-28,29082.57,2025-12-28 07:00:00
ACCT00069,2025-12-28,72933.53,2025-12-28 19:00:00
ACCT00070,2025-12-28,54444.44,2025-12-28 23:00:00
ACCT00070,2025-12-28,56981.05,2025-12-28 02:00:00
ACCT00071,2025-12-28,91038.01,2025-12-28 21:00:00
