rate_date,base_currency,target_currency,rate
2024-05-01,USD,GBP,83.2
2024-05-01,EUR,EUR,0.92
2024-05-01,EUR,GBP,0.92
2024-05-01,USD,JPY,
2024-05-01,USD,EUR,0
2024-05-01,USD,INR,0.92
2024-05-01,EUR,JPY,0.92
2024-05-01,USD,INR,0
2024-05-01,EUR,GBP,83.2
2024-05-01,USD,INR,83.2
2024-05-01,USD,JPY,83.2
2024-05-01,USD,INR,83.2
2024-05-01,EUR,GBP,83.2
2024-05-01,EUR,JPY,0.92
2024-05-01,USD,JPY,
2024-05-01,USD,INR,
2024-05-01,USD,INR,
2024-05-01,USD,INR,83.2
2024-05-01,USD,INR,0
2024-05-01,EUR,EUR,0
2024-05-01,EUR,EUR,
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,GBP,83.2
2024-05-01,EUR,JPY,0.92
2024-05-01,EUR,GBP,
2024-05-01,EUR,JPY,0
2024-05-01,USD,EUR,0.92
2024-05-01,USD,JPY,0.92
2024-05-01,USD,INR,83.2
2024-05-01,EUR,JPY,0
2024-05-01,USD,INR,0
2024-05-01,USD,EUR,83.2
2024-05-01,USD,INR,
2024-05-01,EUR,EUR,
2024-05-01,EUR,EUR,0
2024-05-01,EUR,GBP,0.92
2024-05-01,USD,JPY,0.92
2024-05-01,EUR,INR,0.92
2024-05-01,USD,EUR,0
2024-05-01,USD,GBP,83.2
2024-05-01,EUR,INR,
2024-05-01,EUR,EUR,83.2
2024-05-01,USD,JPY,0.92
2024-05-01,USD,INR,
2024-05-01,USD,JPY,0
2024-05-01,USD,JPY,83.2
2024-05-01,EUR,EUR,
2024-05-01,EUR,GBP,0
2024-05-01,USD,INR,83.2
2024-05-01,USD,JPY,
2024-05-01,EUR,INR,83.2
2024-05-01,USD,EUR,
2024-05-01,USD,INR,
2024-05-01,USD,GBP,
2024-05-01,EUR,EUR,
2024-05-01,EUR,EUR,0
2024-05-01,EUR,INR,0.92
2024-05-01,USD,EUR,0.92
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,EUR,83.2
2024-05-01,USD,JPY,83.2
2024-05-01,USD,JPY,0
2024-05-01,USD,INR,
2024-05-01,EUR,JPY,
2024-05-01,USD,GBP,0
2024-05-01,USD,EUR,0.92
2024-05-01,EUR,JPY,0
2024-05-01,USD,JPY,0.92
2024-05-01,USD,INR,
2024-05-01,EUR,EUR,83.2
2024-05-01,EUR,INR,83.2
2024-05-01,EUR,EUR,
2024-05-01,EUR,GBP,0
2024-05-01,EUR,INR,0
2024-05-01,USD,EUR,
2024-05-01,EUR,JPY,
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,INR,83.2
2024-05-01,EUR,GBP,0
2024-05-01,EUR,JPY,0.92
2024-05-01,USD,INR,0.92
2024-05-01,USD,EUR,0.92
2024-05-01,USD,GBP,
2024-05-01,USD,GBP,
2024-05-01,EUR,INR,83.2
2024-05-01,EUR,GBP,
2024-05-01,EUR,JPY,0
2024-05-01,USD,INR,83.2
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,GBP,
2024-05-01,USD,GBP,
2024-05-01,EUR,INR,0.92
2024-05-01,EUR,JPY,0.92
2024-05-01,EUR,JPY,83.2
2024-05-01,EUR,EUR,0.92
2024-05-01,EUR,JPY,83.2
2024-05-01,EUR,GBP,0
2024-05-01,EUR,GBP,0.92
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,GBP,0
2024-05-01,USD,EUR,0
2024-05-01,USD,INR,0.92
2024-05-01,EUR,EUR,
2024-05-01,EUR,GBP,0
2024-05-01,USD,INR,0.92
2024-05-01,USD,JPY,0.92
2024-05-01,USD,JPY,83.2
2024-05-01,EUR,INR,0.92
2024-05-01,USD,EUR,0.92
2024-05-01,USD,INR,83.2
2024-05-01,EUR,INR,83.2
2024-05-01,USD,JPY,83.2
2024-05-01,USD,INR,0
2024-05-01,EUR,GBP,83.2
2024-05-01,USD,INR,0
2024-05-01,USD,GBP,
2024-05-01,USD,GBP,0
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,GBP,83.2
2024-05-01,EUR,INR,
2024-05-01,EUR,JPY,83.2
2024-05-01,EUR,JPY,83.2
2024-05-01,EUR,JPY,
2024-05-01,USD,EUR,0.92
2024-05-01,EUR,INR,
2024-05-01,EUR,JPY,0
2024-05-01,EUR,EUR,0
2024-05-01,USD,INR,
2024-05-01,USD,EUR,
2024-05-01,USD,JPY,
2024-05-01,USD,EUR,0
2024-05-01,EUR,EUR,
2024-05-01,EUR,INR,0
2024-05-01,USD,JPY,0
2024-05-01,USD,GBP,0
2024-05-01,USD,GBP,0.92
2024-05-01,USD,GBP,83.2
2024-05-01,USD,INR,
2024-05-01,EUR,INR,83.2
2024-05-01,USD,INR,83.2
2024-05-01,EUR,EUR,0
2024-05-01,USD,JPY,83.2
2024-05-01,USD,GBP,
2024-05-01,USD,INR,
2024-05-01,USD,INR,83.2
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,JPY,
2024-05-01,EUR,EUR,83.2
2024-05-01,USD,GBP,
2024-05-01,USD,INR,0.92
2024-05-01,EUR,EUR,
2024-05-01,USD,INR,0.92
2024-05-01,EUR,GBP,0.92
2024-05-01,EUR,GBP,83.2
2024-05-01,USD,EUR,0
2024-05-01,EUR,GBP,0
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,INR,0
2024-05-01,USD,JPY,83.2
2024-05-01,EUR,EUR,83.2
2024-05-01,EUR,INR,0.92
2024-05-01,USD,EUR,0
2024-05-01,USD,GBP,0
2024-05-01,EUR,JPY,
2024-05-01,USD,JPY,83.2
2024-05-01,USD,GBP,0.92
2024-05-01,USD,INR,0.92
2024-05-01,EUR,EUR,0.92
2024-05-01,EUR,EUR,0.92
2024-05-01,EUR,GBP,
2024-05-01,USD,EUR,0
2024-05-01,USD,GBP,0
2024-05-01,EUR,EUR,0
2024-05-01,EUR,GBP,0.92
2024-05-01,EUR,INR,0
2024-05-01,USD,INR,
2024-05-01,USD,INR,0.92
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,INR,0.92
2024-05-01,USD,GBP,
2024-05-01,EUR,EUR,83.2
2024-05-01,EUR,EUR,0
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,JPY,0
2024-05-01,EUR,JPY,83.2
2024-05-01,USD,GBP,
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,GBP,0
2024-05-01,EUR,EUR,83.2
2024-05-01,USD,EUR,0
2024-05-01,USD,JPY,0
2024-05-01,EUR,JPY,0
2024-05-01,EUR,GBP,0.92
2024-05-01,USD,EUR,0
2024-05-01,USD,JPY,0
2024-05-01,EUR,INR,0.92
2024-05-01,USD,INR,0.92
2024-05-01,USD,EUR,0.92
2024-05-01,EUR,INR,0
2024-05-01,EUR,INR,83.2
2024-05-01,EUR,JPY,0.92
2024-05-01,USD,INR,0
2024-05-01,USD,EUR,0
2024-05-01,EUR,JPY,0
2024-05-01,EUR,EUR,83.2
2024-05-01,EUR,GBP,
2024-05-01,EUR,GBP,0.92
2024-05-01,EUR,INR,83.2
2024-05-01,USD,GBP,0
2024-05-01,USD,INR,0.92
2024-05-01,USD,EUR,83.2
2024-05-01,USD,EUR,0.92
2024-05-01,EUR,GBP,83.2
2024-05-01,EUR,INR,
2024-05-01,USD,EUR,0
2024-05-01,USD,INR,83.2
2024-05-01,EUR,INR,0.92
2024-05-01,USD,GBP,0.92
2024-05-01,EUR,EUR,0
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,INR,0
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,INR,83.2
2024-05-01,USD,GBP,83.2
2024-05-01,EUR,GBP,0
2024-05-01,EUR,GBP,0.92
2024-05-01,USD,JPY,0.92
2024-05-01,USD,INR,0.92
2024-05-01,USD,GBP,0
2024-05-01,EUR,GBP,
2024-05-01,EUR,INR,
2024-05-01,USD,EUR,0
2024-05-01,EUR,INR,83.2
2024-05-01,USD,INR,
2024-05-01,EUR,GBP,0
2024-05-01,USD,INR,
2024-05-01,EUR,EUR,0
2024-05-01,EUR,GBP,83.2
2024-05-01,EUR,JPY,83.2
2024-05-01,EUR,GBP,0
2024-05-01,USD,INR,83.2
2024-05-01,EUR,EUR,0.92
2024-05-01,EUR,EUR,0
2024-05-01,USD,GBP,0.92
2024-05-01,EUR,EUR,83.2
2024-05-01,EUR,INR,
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,INR,
2024-05-01,USD,JPY,0.92
2024-05-01,USD,JPY,0.92
2024-05-01,EUR,INR,83.2
2024-05-01,EUR,GBP,
2024-05-01,USD,INR,83.2
2024-05-01,USD,INR,0
2024-05-01,EUR,GBP,0
2024-05-01,USD,GBP,83.2
2024-05-01,USD,INR,0.92
2024-05-01,EUR,GBP,
2024-05-01,USD,INR,83.2
2024-05-01,USD,INR,83.2
2024-05-01,EUR,INR,0.92
2024-05-01,EUR,EUR,
2024-05-01,EUR,EUR,0.92
2024-05-01,USD,INR,
2024-05-01,EUR,INR,0.92
2024-05-01,USD,EUR,0
2024-05-01,EUR,GBP,0.92
2024-05-01,USD,GBP,
2024-05-01,EUR,EUR,83.2
2024-05-01,USD,GBP,
2024-05-01,USD,INR,0
2024-05-01,USD,EUR,83.2
2024-05-01,EUR,GBP,0
2024-05-01,EUR,EUR,
2024-05-01,USD,EUR,
2024-05-01,EUR,GBP,0
2024-05-01,USD,INR,0
2024-05-01,USD,JPY,0
2024-05-01,EUR,INR,0
2024-05-01,USD,INR,83.2
2024-05-01,EUR,INR,83.2
2024-05-01,USD,JPY,
2024-05-01,EUR,INR,
2024-05-01,USD,GBP,
2024-05-01,USD,GBP,0.92
2024-05-01,EUR,JPY,83.2
2024-05-01,USD,INR,83.2
2024-05-01,EUR,INR,83.2
2024-05-01,EUR,JPY,0.92
2024-05-01,EUR,INR,83.2
2024-05-01,EUR,GBP,83.2
2024-05-01,EUR,INR,0
2024-05-01,USD,INR,0
2024-05-01,EUR,GBP,
2024-05-01,EUR,INR,
2024-05-01,EUR,GBP,83.2
2024-05-01,EUR,GBP,0
2024-05-01,EUR,GBP,
2024-05-01,USD,EUR,0.92
2024-05-01,EUR,EUR,83.2
2024-05-01,EUR,GBP,0
2024-05-01,USD,JPY,0
2024-05-01,USD,GBP,0.92
